scenario_id,league_nights_per_week,events_per_month,retention_utilization_uplift,membership_active_members,membership_discount_pct,cash_after_debt,dscr,required_utilization_multiplier_for_cash_break_even
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,150,0.15,-10773.351337442442,0,1.1410163510459868
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,300,0.0,-8064.89808074515,0,1.101950083812065
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,300,0.05,-8358.533585210016,0,1.106055661298531
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,300,0.1,-8652.169089674868,0,1.1101919458047982
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,300,0.15,-8945.804594139734,0,1.1143592831265023
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,0,0.0,-11514.81725346545,0,1.152198808728459
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,0,0.05,-11514.81725346545,0,1.152198808728459
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,0,0.1,-11514.81725346545,0,1.152198808728459
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,0,0.15,-11514.81725346545,0,1.152198808728459
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,50,0.0,-10758.81725346545,0,1.1407993231452993
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,50,0.05,-10807.767895421179,0,1.1415306002657104
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,50,0.1,-10856.718537376893,0,1.1422628155164873
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,50,0.15,-10905.669179332608,0,1.1429959707040325
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,150,0.0,-9246.81725346545,0,1.1186639188747696
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,150,0.05,-9393.669179332608,0,1.1207760696065132
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,150,0.1,-9540.521105199781,0,1.1228962113348968
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,150,0.15,-9687.373031066954,0,1.1250243894949237
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,300,0.0,-6978.8172534654495,0.019299988451080538,1.0870258947993638
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,300,0.05,-7272.521105199781,0,1.0910217498128896
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,300,0.1,-7566.2249569341275,0,1.0950470903562761
S12_BASE_PLUS_PROGRAMS2,0,4,0.07,300,0.15,-7859.928808668445,0,1.0991022439999671
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,0,0.0,-13683.138435024352,0,1.1849662141190231
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,0,0.05,-13683.138435024352,0,1.1849662141190231
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,0,0.1,-13683.138435024352,0,1.1849662141190231
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,0,0.15,-13683.138435024352,0,1.1849662141190231
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,50,0.0,-12927.138435024352,0,1.1729789875336736
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,50,0.05,-12975.967694515091,0,1.1737458989047487
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,50,0.1,-13024.796954005831,0,1.174513813768388
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,50,0.15,-13073.626213496556,0,1.1752827340954641
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,150,0.0,-11415.138435024352,0,1.1497176889706227
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,150,0.05,-11561.626213496556,0,1.1519308843110416
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,150,0.1,-11708.113991968776,0,1.1541526168443728
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,150,0.15,-11854.60177044098,0,1.1563829360632008
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,300,0.0,-9147.138435024352,0,1.1165056226276342
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,300,0.05,-9440.113991968776,0,1.1206875604671962
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,300,0.1,-9733.089548913185,0,1.1249009434774992
S12_BASE_PLUS_PROGRAMS2,0,6,0.0,300,0.15,-10026.065105857566,0,1.1291461276646675
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,0,0.0,-12054.017194104837,0,1.1594329848795346
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,0,0.05,-12054.017194104837,0,1.1594329848795346
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,0,0.1,-12054.017194104837,0,1.1594329848795346
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,0,0.15,-12054.017194104837,0,1.1594329848795346
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,50,0.0,-11298.017194104837,0,1.1479542834740954
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,50,0.05,-11346.865822898186,0,1.148689102157254
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,50,0.1,-11395.714451691534,0,1.1494248621746799
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,50,0.15,-11444.563080484897,0,1.150161565336367
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,150,0.0,-9786.017194104837,0,1.125665495296727
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,150,0.05,-9932.563080484897,0,1.1277878164536161
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,150,0.1,-10079.108966864957,0,1.129918155543766
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,150,0.15,-10225.654853245002,0,1.1320565580896833
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,300,0.0,-7518.0171941048375,0,1.093809240878721
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,300,0.05,-7811.1089668649565,0,1.0978241777945323
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,300,0.1,-8104.200739625076,0,1.1018686977580425
S12_BASE_PLUS_PROGRAMS2,0,6,0.03,300,0.15,-8397.29251238518,0,1.1059431289410893
